run_id,dataset_file,speedup,jobs,mean_response_ms,p50_response_ms,p95_response_ms,p99_response_ms,mean_wait_ms,mean_execution_ms,total_slots_at_end,tag
913f2c1386,dataset_priority_linux_1k.csv,20000.0,1000,29202916.829,29048463.0,53988388.0,55946443.07,29202648.667,268.162,4,replicas_2_cores_2
62ad71f610,dataset_priority_linux_1k.csv,20000.0,1000,29660636.829,30208463.0,53027388.0,55486443.07,29660368.667,268.162,8,replicas_2_cores_4
d8b350689f,dataset_priority_linux_1k.csv,20000.0,1000,33103316.829,32918463.0,61046388.0,63667043.07,33103048.667,268.162,16,replicas_2_cores_8
55a4619bf6,dataset_priority_linux_1k.csv,20000.0,1000,42934676.829,42497738.5,80510600.8,83585955.93,42934408.667,268.162,32,replicas_2_cores_16
347f3a085a,dataset_priority_linux_1k.csv,20000.0,1000,21966496.829,21908463.0,40864866.0,42486443.07,21966228.667,268.162,8,replicas_4_cores_2
2a4fe386d4,dataset_priority_linux_1k.csv,20000.0,1000,22970276.829,22738463.0,41706388.0,43346246.78,22970008.667,268.162,16,replicas_4_cores_4
fb19d2f9dd,dataset_priority_linux_1k.csv,20000.0,1000,23908816.829,23729176.5,43126221.55,44666446.78,23908548.667,268.162,32,replicas_4_cores_8
7931f1539a,dataset_priority_linux_1k.csv,20000.0,1000,24290176.829,25319009.0,43849427.65,45487043.07,24289908.667,268.162,64,replicas_4_cores_16
451d7574b4,dataset_priority_linux_1k.csv,20000.0,1000,21113216.829,21098463.0,39489388.0,41086443.07,21112948.667,268.162,16,replicas_8_cores_2
04ae745832,dataset_priority_linux_1k.csv,20000.0,1000,20649156.829,20958284.5,38846230.15,40286625.64,20648888.667,268.162,32,replicas_8_cores_4
305355ed89,dataset_priority_linux_1k.csv,20000.0,1000,21077096.829,21019009.0,39489427.65,40745955.93,21076828.667,268.162,64,replicas_8_cores_8
907176e357,dataset_priority_linux_1k.csv,20000.0,1000,20159216.829,20238452.0,38247388.0,39846443.07,20158948.667,268.162,128,replicas_8_cores_16
4cd510bb6d,dataset_priority_linux_1k.csv,20000.0,1000,21125396.829,21128463.0,39240387.999999985,40946443.07,21125128.667,268.162,32,replicas_16_cores_2
c51e42d17e,dataset_priority_linux_1k.csv,20000.0,1000,20322436.829,20358463.0,38767017.35,40307864.75,20322168.667,268.162,64,replicas_16_cores_4
c739bcf568,dataset_priority_linux_1k.csv,20000.0,1000,20210456.829,20158463.0,38686000.25,40146443.07,20210188.667,268.162,128,replicas_16_cores_8
9a519de0a4,dataset_priority_linux_1k.csv,20000.0,1000,21117236.829,20658463.0,39508305.05,40906147.87,21116968.667,268.162,256,replicas_16_cores_16
